iter	Passed	Remaining
604	2978	1944
605	2982	1939
606	2986	1933
607	2990	1928
608	2995	1923
609	3000	1918
610	3005	1913
611	3009	1908
612	3015	1903
613	3019	1898
614	3023	1892
615	3028	1887
616	3032	1882
617	3036	1877
618	3041	1872
619	3046	1867
620	3051	1862
621	3056	1857
622	3061	1852
623	3066	1847
624	3071	1842
625	3076	1838
626	3081	1832
627	3086	1828
628	3091	1823
629	3095	1817
630	3099	1812
631	3103	1807
632	3108	1802
633	3112	1796
634	3116	1791
635	3121	1786
636	3127	1782
637	3131	1777
638	3136	1771
639	3141	1767
640	3145	1761
641	3150	1756
642	3154	1751
643	3159	1746
644	3163	1741
645	3168	1736
646	3172	1731
647	3177	1726
648	3182	1721
649	3186	1715
650	3191	1710
651	3195	1705
652	3199	1700
653	3204	1695
654	3208	1690
655	3213	1685
656	3218	1680
657	3222	1675
658	3227	1670
659	3231	1664
660	3236	1659
661	3241	1655
662	3245	1649
663	3250	1644
664	3255	1640
665	3260	1635
666	3264	1629
667	3268	1624
668	3273	1619
669	3277	1614
670	3282	1609
671	3288	1604
672	3292	1599
673	3296	1594
674	3300	1589
675	3305	1584
676	3309	1579
677	3314	1574
678	3319	1569
679	3323	1564
680	3328	1559
681	3332	1553
682	3337	1549
683	3341	1543
684	3346	1538
685	3352	1534
686	3357	1529
687	3361	1524
688	3366	1519
689	3370	1514
690	3375	1509
691	3380	1504
692	3384	1499
693	3388	1494
694	3393	1489
695	3397	1484
696	3401	1478
697	3407	1474
698	3411	1469
699	3416	1464
700	3420	1459
701	3426	1454
702	3430	1449
703	3435	1444
704	3439	1439
705	3444	1434
706	3448	1429
707	3453	1424
708	3458	1419
709	3463	1414
710	3467	1409
711	3473	1404
712	3477	1399
713	3482	1394
714	3486	1389
715	3491	1384
716	3495	1379
717	3499	1374
718	3503	1369
719	3508	1364
720	3513	1359
721	3517	1354
722	3522	1349
723	3526	1344
724	3531	1339
725	3535	1334
726	3539	1329
727	3543	1324
728	3548	1319
729	3553	1314
730	3557	1309
731	3561	1303
732	3566	1298
733	3571	1294
734	3575	1289
735	3580	1284
736	3584	1279
737	3588	1273
738	3592	1268
739	3597	1263
740	3601	1258
741	3606	1253
742	3610	1248
743	3615	1244
744	3620	1239
745	3624	1234
746	3629	1229
747	3634	1224
748	3639	1219
749	3644	1214
750	3649	1210
751	3653	1204
752	3658	1200
753	3662	1195
754	3667	1190
755	3672	1185
756	3676	1180
757	3681	1175
758	3685	1170
759	3690	1165
760	3695	1160
761	3700	1155
762	3705	1150
763	3710	1146
764	3714	1141
765	3719	1136
766	3724	1131
767	3729	1126
768	3733	1121
769	3738	1116
770	3743	1111
771	3747	1106
772	3752	1102
773	3757	1097
774	3761	1092
775	3765	1087
776	3770	1082
777	3775	1077
778	3779	1072
779	3785	1067
780	3789	1062
781	3794	1057
782	3799	1053
783	3805	1048
784	3809	1043
785	3813	1038
786	3819	1033
787	3823	1028
788	3828	1023
789	3833	1018
790	3837	1014
791	3842	1009
792	3846	1004
793	3852	999
794	3857	994
795	3861	989
796	3865	984
797	3870	979
798	3874	974
799	3879	969
800	3884	964
801	3888	960
802	3893	955
803	3898	950
804	3904	945
805	3908	940
806	3913	935
807	3918	931
808	3922	925
809	3926	921
810	3930	916
811	3934	910
812	3939	906
813	3943	901
814	3948	896
815	3952	891
816	3957	886
817	3961	881
818	3966	876
819	3971	871
820	3975	866
821	3979	861
822	3985	857
